participant_id,id,age,gender,gender_text,ethnicity,ethnicity_white_text,ethnicity_mixed_text,ethnicity_asian_text,ethnicity_black_text,ethnicity_other_text,oldfold_resident,time_in_current_home,resident_status,education,income,employment_status,working_pattern,working_pattern_text,heating_text,heating_text_2,awareness_1,awareness_2,awareness_3,information_1,information_2,information_3,information_4,information_5,information_text1,information_text2,benefits_1,benefits_2,benefits_3,benefits_4,barriers_1,barriers_2,community_1,community_2,community_3,community_4,community_5,community_6,community_7,community_8,community_9,community_10,community_11,sustainability_1,sustainability_2,sustainability_3,sustainability_4,sustainability_5,sustainability_6,sustainability_7,expansion_1,alternative_energy_1,alternative_energy_2,alternative_energy_3,government_1,government_2,government_3,government_4,government_5,technology_1,technology_2,security_1,preferences_1,preferences_2,conservation_1,conservation_2,conservation_3,economy_1,economy_2,economy_3,electrification_1,electrification_2,electrification_3,supplier_1,supplier_2,supplier_3,health_1,health_2,health_3,maintenance_1,maintenance_2,maintenance_3,maintenance_4,local_1,local_2,local_3,green_1,green_2,green_3,green_4,green_5
OR10RA,1,27,1,,1,,,,,,1,3,1,4,2,3,,,I have a newborn baby so the hearing is on nearly all day.,,2,2,2,3,7,7,3,3,,,4,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,5,5,4,4,4,6,6,4,4,4,4,3,7,7,1,4,4,5,5,4,4,4,4,4,4,4,4,4,1,1,6,6,4,5,6,5,6,4,4,4,4,6,6,6,5,5,7,6,6
LA15RN,2,45,1,,1,,,,,,1,4,1,2,3,2,2,,It’s on low and I boost it when needed also on a timer in the morning ,,1,1,1,1,6,6,1,1,,,4,3,4,4,4,4,3,5,4,7,4,3,4,3,4,4,4,6,4,4,4,4,5,4,4,4,6,4,4,5,4,4,4,6,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,7,5,7,4,4,5,4,4,4,4,3,3,7,3,4
AC23BEA,3,,2,,5,,,,,,1,4,1,10,4,2,1,,Permanent 20 degrees controlled by heating control device ,No,2,2,2,,,6,,,I didn't received ,,5,5,5,5,4,5,4,6,6,6,5,4,3,4,5,5,5,5,5,5,5,6,5,5,6,6,6,4,5,6,4,4,3,6,4,5,5,5,5,4,5,5,5,5,4,5,5,6,4,6,5,5,4,4,5,5,3,4,5,4,6,5,6,6,6
H3nrY,4,28,1,,1,,,,,,1,2,2,4,4,2,1,,Set timers for night and early morning,,2,2,2,3,6,4,3,3,,,4,5,7,6,4,5,4,5,4,5,4,4,5,4,5,4,5,2,5,5,5,5,4,5,6,4,4,5,6,6,1,4,2,6,4,5,5,7,4,6,5,5,4,,4,4,5,5,6,5,6,5,6,4,4,5,5,5,4,4,4,6,6,6,4
1377,5,46,1,,8,,,,,,1,4,1,5,3,2,1,,Temperature 20-21 degrees ,"Gas, eco friendly homes ",6,6,6,6,6,6,6,6,Non,Internet ,3,6,6,6,5,2,6,,6,6,,3,6,6,,,6,6,6,,3,6,6,6,6,6,6,5,6,6,4,4,6,6,6,6,5,6,6,3,6,6,6,,5,6,6,6,5,6,6,6,,6,5,6,6,6,1,3,,,,6,6
1074,6,50,2,,11,,,,,,1,3,1,10,4,2,1,,Gas 20 degrees ,12 years old house ,5,6,5,4,5,4,7,6,Internet ,,6,6,6,6,3,3,5,6,6,6,6,6,6,5,5,6,6,4,6,5,5,5,5,5,6,6,4,3,7,7,,3,6,6,6,2,6,6,6,6,6,6,6,,5,3,5,6,2,2,5,5,5,3,6,6,6,3,6,4,6,6,6,6,6
GR12DA,7,29,1,,18,,,,,,1,2,3,3,3,2,2,,"30 degrees for an hour at a time as the kids get cold. 30 degrees in the morning at 6.30am for an hour and then on again just before school to heat up the house for the kids arrival at 3.15pm for an hour, then finally 30 degrees for an hour before bedtime at 6.30pm. ",No,2,2,1,1,7,7,1,3,I have not,I have not,4,4,4,4,6,6,5,7,5,5,4,6,2,7,4,4,4,7,4,4,4,6,5,4,4,2,4,5,6,4,4,4,1,5,7,4,4,7,4,6,6,4,4,4,4,5,7,7,5,7,6,6,7,4,4,6,4,5,4,4,5,2,6,6,6
YE01OW,8,34,1,,1,,,,,,1,2,3,4,4,2,1,,Leave heating at reasonable temperature,,2,2,2,1,4,4,3,3,,,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,5,5,5,7,4,4,4,4,4,4,4,3,5,4,4,4
BL06ST,9,57,2,,1,,,,,,1,4,3,4,4,2,"1,3",,Heating is usually on most of the time as I have a reduced immune system due to medication for Crohn's disease,,6,5,5,1,6,5,5,5,Gateshead Council letter,Gateshead Council letter,3,3,4,4,5,5,4,6,5,5,3,4,4,4,5,5,5,5,4,4,4,5,5,4,5,3,6,3,5,6,4,5,1,6,5,4,5,6,4,5,4,4,4,5,4,4,5,6,3,7,7,6,6,6,6,5,5,6,5,5,3,3,6,4,4
OR11AH,10,,1,,1,,,,,,1,2,2,9,4,2,1,,Heating is on a timer: 2 hours in the morning and 2 hours in the evening. The hearing will turn off within these 2 hour windows if it reaches over 20C. I leave it on when I'm out (as I have pets),,6,5,5,3,6,5,1,6,,I chanced upon information about heat networks when reviewing some research on clean domestic heating options at my job,6,6,6,6,3,5,5,5,6,7,3,5,4,3,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,5,5,6,5,6,4,6,5,6,6,5,5,5,7,7,7,5,7,5,6,7,7,4,4,4,6,6,6,6,5,5,6,6,6
SB02BA,11,34,2,,1,,,,,,1,3,3,10,3,2,2,,"in winter I have the heating on all the time because I have small children at home, the temperature is 22 degrees Celsius",No,4,5,2,3,3,7,3,3,,,4,4,7,1,4,7,7,7,7,4,1,1,4,7,5,7,3,5,6,3,3,6,7,4,4,7,7,3,7,7,5,4,1,7,7,4,7,7,7,7,7,4,4,3,1,4,5,7,4,7,7,7,7,7,7,4,7,4,5,6,3,2,2,4,7
OR10RA,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panda,13,19,1,,8,Italian ,,,,,1,2,3,5,4,2,2,,Set the timer to heated in sets time ,No,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PU10LA,14,,1,,1,,,,,,1,4,3,6,2,3,,,"Heating is set at 20 degrees C for short periods of time during the day, which are set on a timer",,7,7,6,3,5,6,6,6,From Gateshead Council,As above,4,4,6,6,2,2,6,7,5,6,2,6,4,6,6,7,5,6,6,6,6,6,6,6,6,6,7,2,6,5,2,6,6,6,6,6,6,6,6,6,6,6,4,6,3,3,3,5,6,7,6,6,6,3,2,3,6,7,7,2,5,6,6,6,7
Bl06la,15,47,1,,1,,,,,,1,4,1,3,3,2,1,,High temperature for short spells ,,1,1,1,1,7,4,1,1,,,3,3,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ye05ja,16,47,1,,1,,,,,,1,4,3,3,8,2,"1,4,5",,Timer setting ,,1,1,1,1,7,7,1,1,,,1,1,4,4,7,7,5,6,5,6,1,5,1,5,4,5,4,5,4,4,4,5,5,4,4,4,4,3,4,5,3,4,3,6,6,4,4,6,5,5,4,4,4,4,4,4,5,5,5,5,6,6,6,7,7,7,4,6,5,6,5,5,6,5,5
Perro,17,,2,,8,Polish,,,,,1,4,1,10,5,2,1,,Gas,,3,1,1,1,7,7,4,1,,,1,1,7,7,4,4,5,5,5,5,1,5,1,5,7,7,7,7,4,7,7,7,7,7,7,6,7,4,7,7,4,7,7,7,7,7,7,7,4,5,5,7,4,7,4,4,4,7,4,7,7,7,7,7,7,7,4,5,5,5,4,5,7,7,7
PU08LA,18,28,1,,14,,,,,,1,1,2,8,8,3,,,Its manually turned on but has a 2 hours timer. The maximum heat is 23°c. ,,4,5,5,4,7,4,3,5,,,4,4,5,6,6,6,5,5,6,6,4,5,3,4,7,6,7,5,5,6,6,6,4,5,4,5,7,1,4,7,4,5,3,6,4,5,5,6,5,5,6,4,5,6,5,6,6,5,7,7,7,6,6,5,6,6,6,4,4,5,5,6,7,7,6
084LECHEMIN,19,32,2,,18,,,,,,1,2,3,7,4,3,,,Lukewarm ,At night it’s cheaper ,6,6,7,7,7,7,7,7,I havent ,I dont,7,1,7,7,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
